contract_address,token_id,from_address,to_address,amount,type,tx_hash,block_number,ts,tx_index,log_id,internal_tx_index,batch_transfer,value
79355117,16701811,0xd732c9792a6ba0281dd620a26e991cc2fb7e7a5d99e852e5488e7daf6642bbe4,0xf4768ee87bd5e6a84c3bd4ae6cc9c3f4305bf376,721,0x0000000000000000000000000000000000000000000000000000000000000380,1,0xe182280a2baf45b0bba5f493295b8a07c5af82d3,0x4a92911662f6b672e8c299dad7e9c5c2c817e6cc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,25650000000000000,seaport,2023-02-25 00:42:47,41.01718856965587
79355118,16701811,0x255befb10b68ce0aed3ae4e6fa6937cdc1cf6452164d09f8929dc80c52881b79,0x94638cbf3c54c1f956a5f05cbc0f9afb6822020d,721,0x0000000000000000000000000000000000000000000000000000000000000c1e,1,0xae4a0dd4f59c68b1c34fc8d770c1286f870b39f7,0x1910c576cc406bfd8d53537873c3289dfb52b8c0,0x0000000000000000000000000000000000000000,190000000000000000,seaport,2023-02-25 00:42:47,304.339464956328
79355119,16701811,0x31d389f940f5479f212e6ede3c8fdef4ec41a01c15365f3152a3fdd894564794,0xe70659b717112ac4e14284d0db2f5d5703df8e43,1155,0x0000000000000000000000000000000000000000000000000000000000000002,1,0xac41d549d4d1c6ceca6475f6618a191f225859ca,0xde72e54a672924d1ed17af7fb12958cf8ac09ebc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,27500000000000000,seaport,2023-02-25 00:42:47,43.975543300800645
79355120,16701811,0xb046cc1aa8f19e8e05fee1c23eca12926a05f11e74b9a7a8deec977451b5e525,0x5d62fb8dcd9b480960f55956fbdd8d9f07f2b402,721,0x0000000000000000000000000000000000000000000000000000000000001cda,1,0x20b982b0aa490285bbe207b2813db367a27af26c,0x2e00846592959fe73c57d57860cc9d175744711e,0x0000000000000000000000000000000000000000,51200000000000000,seaport,2023-02-25 00:42:47,82.01147687244209
79355121,16701811,0xfd35c9841dffa62463da20efcc2359c1e24b4075de04a1609409723180523361,0x816840b298c3a326330236ac1368d3887d27a7cb,721,0x00000000000000000000000000000000000000000000000000000000000043cd,1,0x04500a6fe599f592123d21b7cb224a860c3428e5,0x78a104ddcb99031910cd32c55178b20c6928d6e9,0x0000000000000000000000000000000000000000,4000000000000000,seaport,2023-02-25 00:42:47,6.407146630659538
79355122,16701812,0xf004525ddd2b16c50d8d21b4ba281ca22378da4186af8ea4dc843a30b89ecff3,0x4ad134790598c34640cd91abffaa30f35900ae42,721,0x0000000000000000000000000000000000000000000000000000000000000221,1,0xfe02c02ca4cff78ead96bb8b2356eb5f0eb6fcc2,0x100a68b9574de7374a924fb1d35fb68ba7e03b61,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,27405000000000000,seaport,2023-02-25 00:42:59,43.823627787579696
79355123,16701812,0x473e099b9d2efae593e794d31bcbd7a518670dc271bb1c08dbee0b0dab845872,0x9fff0b1a6e9e9554baf3f8a39b6353fda9c30054,1155,0x0000000000000000000000000000000000000000000000000000000000000002,1,0xd6761e7691e6a9330b903ba077fde01495635b9c,0xa290b6bb666b30032fba65e3f8458a692c97e7d9,0x0000000000000000000000000000000000000000,72000000000000000,seaport,2023-02-25 00:42:59,115.32863935187167
79355124,16701812,0x08116c4e2b5ec4e5f4fac0d63e82e599a462f61cd1b528af2d4d49cdc3df6adb,0x583f84cd9e925373d8fb3f73c23b0cd576471102,1155,0x000000000000000000000000000000000000000000000000000000000000000c,1,0xb3924ecf19c2ef7fb7ce3ecddd22ec96c77a3f64,0x53bc776b4fa5cb94f9206cc4537b8c561f1a1b39,0x0000000000000000000000000000000000000000,99500000000000000,seaport,2023-02-25 00:42:59,159.377772437656
79355125,16701812,0x477e6d4f0e857e50eaebcbc93fdbfe1ca49bf2b5a0c5f7184c0ae5a33c01f571,0x0be697ce3f41508510ccf502c55c37990274f05e,721,0x00000000000000000000000000000000000000000000000000000000000006db,1,0x2b695dad3de30b4292a8a94bbe51f242dacb875a,0x1826a9845242e25755aa44af93804047b010c07d,0x0000000000000000000000000000000000000000,127000000000000000,seaport,2023-02-25 00:42:59,203.42690552344033
79355126,16701812,0x07cd4088d59fee12d5dd0c0646f3d44694c0df0fbfcf8445ab883f0764895461,0xc2e9678a71e50e5aed036e00e9c5caeb1ac5987d,721,0xdf43b89f57c1d2370905c4d199581bdefee3877fe46dcdedf87690682381fa45,1,0x8888093862d267062abb0a85ffbeb5a8ff213b72,0x83f05c2f9b6d309c652c50799d16db51542e05f1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,399378000000000000,seaport,2023-02-25 00:42:59,638.6496193595332
